Date,Time,Event,EAR,MAR
2026-04-12,14:58:50,Yawning,0.2,0.51
2026-04-12,15:03:16,Drowsy,0.02,0.6
2026-04-12,15:03:30,Drowsy,0.06,0.59
2026-04-12,15:05:39,Drowsy,0.07,0.52
2026-04-12,15:05:56,Drowsy,0.12,0.45
2026-04-12,15:05:59,Drowsy,0.1,0.37
2026-04-12,15:06:04,Drowsy,0.09,0.42
2026-04-12,15:06:10,Drowsy,0.09,0.42
2026-04-12,15:06:56,Yawning,0.25,0.62
2026-04-12,15:06:57,Yawning,0.26,0.6
2026-04-12,15:06:59,Yawning,0.25,0.6
2026-04-12,15:06:59,Yawning,0.26,0.61
2026-04-12,15:07:01,Drowsy,0.07,0.53
2026-04-12,15:07:02,Yawning,0.3,0.61
2026-04-12,15:33:43,OverSpeed,0.34,0.49,129
2026-04-12,15:40:18,Yawning,0.22,0.62,0
2026-04-12,15:40:22,Yawning,0.31,0.62,0
2026-04-12,15:40:22,Yawning,0.32,0.61,0
2026-04-12,15:40:23,Yawning,0.32,0.6,0
2026-04-12,15:40:23,Yawning,0.32,0.61,0
2026-04-12,15:40:23,Yawning,0.29,0.6,0
2026-04-12,15:40:24,Yawning,0.31,0.61,0
2026-04-12,15:40:24,Yawning,0.31,0.61,0
2026-04-12,15:40:24,Yawning,0.31,0.64,0
2026-04-12,15:40:24,Yawning,0.31,0.62,0
2026-04-12,15:40:26,Yawning,0.31,0.61,0
2026-04-12,15:40:26,Yawning,0.3,0.62,0
2026-04-12,15:40:27,Yawning,0.3,0.6,0
2026-04-12,15:40:27,Yawning,0.3,0.61,0
2026-04-12,15:40:27,Yawning,0.29,0.61,0
2026-04-12,15:40:27,Yawning,0.3,0.65,0
2026-04-12,15:40:36,Yawning,0.31,0.73,0
2026-04-12,15:58:08,Drowsy,0.04,0.5,0
2026-04-12,15:58:14,Yawning,0.32,0.61,0
2026-04-12,15:58:14,Yawning,0.31,0.61,0
2026-04-12,15:58:15,Yawning,0.3,0.6,0
2026-04-12,15:58:24,Drowsy,0.07,0.28,0
2026-04-12,15:58:27,Drowsy,0.1,0.36,0
2026-04-12,15:58:30,Drowsy,0.23,0.44,0
2026-04-12,15:58:32,Drowsy,0.24,0.45,0
2026-05-09,11:52:52,Drowsy,0.07,0.41,0
2026-05-09,11:52:56,Drowsy,0.04,0.53,0
2026-05-09,11:53:05,Drowsy,0.22,0.52,0
2026-05-09,11:53:06,Yawning,0.16,0.66,0
2026-05-09,11:53:10,Yawning,0.28,0.61,0
2026-05-09,11:53:13,Drowsy,0.04,0.45,0
2026-05-09,11:53:51,Drowsy,0.22,0.51,0
2026-05-09,11:53:57,Drowsy,0.07,0.48,0
2026-05-09,11:54:05,Drowsy,0.23,0.46,0
2026-05-09,11:54:12,Yawning,0.26,0.69,0
2026-05-09,11:54:13,Yawning,0.28,0.61,0
2026-05-13,11:34:50,OverSpeed,0.19,0.48,116
2026-05-13,11:54:49,OverSpeed,0.23,0.49,107
2026-05-13,11:55:21,Drowsy,0.23,0.49,100
2026-05-13,11:55:35,Drowsy,0.18,0.5,100
2026-05-13,11:55:38,Drowsy,0.16,0.51,100
2026-05-13,11:55:41,Drowsy,0.24,0.45,100
2026-05-13,11:55:42,Drowsy,0.23,0.44,100
2026-05-13,11:55:44,Yawning,0.26,0.64,100
2026-05-13,11:55:45,Yawning,0.25,0.65,100
2026-05-13,11:55:45,Yawning,0.24,0.6,100
2026-05-13,11:55:50,Yawning,0.23,0.75,100
2026-05-13,11:55:53,Yawning,0.24,0.65,100
2026-05-13,11:55:53,Yawning,0.24,0.64,100
2026-05-13,11:55:55,Yawning,0.25,0.67,100
2026-05-13,11:55:55,Yawning,0.24,0.66,100
2026-05-13,11:55:55,Yawning,0.25,0.6,100
2026-05-13,11:56:01,Yawning,0.13,0.62,100
2026-05-13,11:56:01,Yawning,0.19,0.63,100
2026-05-13,11:56:06,Drowsy,0.24,0.46,100
2026-05-13,11:56:09,Drowsy,0.22,0.49,100
2026-05-13,11:56:13,Yawning,0.32,1.66,100
2026-05-13,11:56:13,Yawning,0.27,0.62,100
2026-05-13,11:56:13,Yawning,0.22,1.92,100
2026-05-13,11:56:14,Yawning,0.49,1.55,100
2026-05-13,11:56:17,Drowsy,0.2,0.39,100
2026-05-13,11:56:20,Drowsy,0.19,0.45,100
2026-05-13,11:56:22,Drowsy,0.23,0.47,100
2026-05-13,11:56:39,Yawning,0.48,1.0,100
2026-05-13,12:04:57,Drowsy,0.22,0.47,0
2026-05-13,12:05:00,Drowsy,0.24,0.51,0
2026-05-13,12:05:03,Drowsy,0.23,0.49,0
2026-05-13,12:05:09,Drowsy,0.16,0.5,0
2026-05-13,12:05:14,Yawning,0.24,0.67,0
2026-05-13,12:05:15,Drowsy,0.22,0.43,0
2026-05-13,12:05:19,Drowsy,0.13,0.48,0
2026-05-13,12:05:29,Drowsy,0.22,0.49,0
2026-05-13,12:07:28,Drowsy,0.23,0.49,0
2026-05-13,12:07:38,Drowsy,0.25,0.54,0
2026-05-13,12:07:48,Drowsy,0.18,0.42,0
2026-05-13,12:07:52,Drowsy,0.23,0.48,0
2026-05-13,12:07:57,Drowsy,0.24,0.5,0
2026-05-13,12:07:58,Drowsy,0.23,0.5,0
2026-05-13,12:08:11,Drowsy,0.18,0.45,0
2026-05-13,12:32:56,Drowsy,0.2,0.43,0
2026-05-13,12:32:59,Drowsy,0.11,0.47,0
2026-05-13,12:33:11,Drowsy,0.23,0.43,0
2026-05-13,12:33:14,Drowsy,0.19,0.39,0
2026-05-13,12:33:16,Yawning,0.2,0.68,0
2026-05-13,12:33:32,Drowsy,0.13,0.46,0
2026-05-13,12:33:38,Drowsy,0.18,0.4,0
2026-05-13,12:37:28,Drowsy,0.2,0.46,0
2026-05-13,12:37:29,Distracted-LEFT,0.19,0.48,0
2026-05-13,12:37:32,Distracted-LEFT,0.26,0.42,0
2026-05-13,12:37:32,Yawning,0.26,0.64,0
2026-05-13,12:37:35,Distracted-LEFT,0.29,0.6,0
2026-05-13,12:37:38,Distracted-RIGHT,0.24,0.45,0
2026-05-13,12:37:41,Distracted-LEFT,0.26,0.55,0
2026-05-13,12:37:44,Distracted-LEFT,0.26,0.51,0
2026-05-13,12:37:46,Drowsy,0.21,0.47,0
